Q1,nota,feedback,,Q2a,nota,feedback,,Q2b,nota,feedback,,Q3a,nota,feedback,,Q3b,nota,feedback
"Para minimizar as tensões de dois lados devemos utilizar a arte até certo ponto, para isso precisamos estabelecer um limite até onde a arte é benéfica e este limite são os direitos e deveres.",0,,,A relação e que algumas pessoas ainda pensam que existem lugares para determinado sexo consequentemente a ideia da mulher doméstica.,0,,,"Nos dias atuais temos diversas ferramentas que foram criadas para que essa violência e impunidade dos agressores diminua. Antigamente com a ausência dessas ferramentas a impunidade era evidente pela falta de credibilidade da voz da mulher, já com as ferramentas que conseguem registrar estes momentos, esta voz passou a ser mais escutada.acredito que uma maneira de aumentar cada vez mais o aumento desta pena para violência contra a mulher deve ser cada vez mais rígida dada a intensidade de cada caso.","0,5",,,"Nas grandes cidades do Brasil, a desigualdade social é algo muito presente invisível, que em um minuto você sai de um bairro nobre e entre um bairro extremamente pobre, definindo o perfil da população brasileira.e com esse crescimento exponencial das cidades, a população de classe baixa acaba invadindo e construindo casas em lugares inapropriados, o que acaba gerando risco socioambientais.","0,5",,,"Uma proposta para desenvolvimento em bairros periféricos, seria o auxílio na estrutura da comunidade. Como investimento no saneamento básico, na estrutura das casas, etc outra proposta seria um maior investimento na educação pública, aumentando a capacidade profissional da população, fazendo com que conquistas melhores cargos, e assim ter maior poder econômico, conseguindo morar em situações melhores.",1,
"Quanto mais informação e conhecimento as pessoas têm, elas tendem a ser mais tolerantes: O ensino sobre a relatividade da arte deve ser ensinado de modo frequente e bem no início da infância das crianças. Deve-se ensinar de modo rigoroso em escolas, onde a criança está em sua fase de desenvolvimento pedagógico há diferença de liberdade e libertinagem.","0,25",,,"O patriarcado durante muito tempo foi algo que está enraizado na cultura mundial, como um homem deve ser o sustento e a mulher submissa ao homem, porém nos dias atuais este modo de pensar em países considerados livres são uma escolha. Hoje a sociedade está mais dividida em o que ambos são melhores do que privilégios por sexo. No Brasil que é um país considerado livre existem diversas mulheres ocupando grandes cargos, não é um equilíbrio 50/50 por simples decisão ou competência.","0,25",,,"O Estado deve fortalecer a rede de proteção às mulheres, como delegacias especializadas e abrigos e investir em campanhas educativas prevenção e igualdade de gênero.","0,75",,,"Pessoas que não são de altas classes sociais são condicionadas a morar em lugares que não são seguros para se habitar, como por exemplo, perto de rios, ou então em morro.em locais tem o risco de acontecer desastres naturais(alagamentos e desmoronar). Esses fatores geram um ciclo: pessoas pobres são condicionadas a morarem em lugares inadequados, pessoas não conseguem se desenvolver crescendo neste ambiente, consequentemente ele não sobe a sua classe social, fazendo ele continuar morando em um ambiente inadequado","0,75",,,"Transporte circular de graça para pessoas que habitam em regiões periféricas, projeto a ajudar pessoas que vão para seu trabalho e faculdade.",1,
"Baseando-se nos dois textos disponibilizado a arte refere-se à liberdade de expressão e alcance de ideologias. Por muitas vezes este meio foi utilizado para combater ideologias autoritárias em território nacional, a ditadura militar, onde as pessoas que produziam essas obras de arte eram censuradas, ou seja, eram silenciadas artisticamente e politicamente criando-se assim a extinção, ou a tentativa de, do próprio livre arbítrio. Logo as artes que rodeiam as suas devidas épocas contam história das culturas que coincidem em uma mesma época, que só pode ser analisada quando a liberdade de expressão é respeitada por ambas as partes.","0,25",,,"O patriarcado estrutural é algo que já vem sendo carregado há tantas gerações que para uma parcela da população pode ser algo normal, coisa que sabemos que não é bem assim.de tempos para cá as mulheres vêm cada vez mais mostrando sua paridade para com a antiga imagem do homem provedor, conseguindo assim lidar com as mesmas ou até mais obrigações. Porém ainda atualmente é possível perceber algumas evidências deixe enraizamento do patriarcado estrutural onde a mulher que trabalha igual, come igual, dorme igual aos homens ainda tem os salários reduzidos para os mesmos cargos.","0,25",,,"Uma possível ação do Estado para o enfrentamento das diferentes tipos de violência contra mulher é o maior estímulo a denúncia, com propagandas até mesmo na educação. Além de fornecer aulas de defesa pessoal para todas as mulheres gratuitamente, para que tenha um maior poder de defesa.",1,,,"O perfil da população afetada está relacionado com questões históricas e geográficas do Brasil com forte concentração de riquezas principalmente no sudeste do país e preconceito estrutural com isso, a desigualdade social é relacionada com a vulnerabilidade, com Dias inadequadas","0,5",,,"Construções de prédios e reabilitação, auxílio comunitário.","0,5",
"A arte conforme apresenta no texto um, exerce o papel de questionar e tencionar a cultura dominante, pois não se limita a reproduzir normas sociais, mais provocar reflexão e transformação.o texto dois garante a liberdade de expressão artística pela Constituição de 1988, tornando a censura uma violação desse direito.para reduzir estas tensões, é essencial investir nas escolas de educação artística crítica e na formação de educadores para promover o respeito a diversidade e a liberdade de expressão.","0,75",,,"O patriarcado estuda e sustenta a desigualdade entre homens e mulheres ao naturalizar a dominação masculina ao atribuir as mulheres papéis de submissão. Essa estrutura reforça desigualdade social, política e simbólica, mostrando assim a exclusão e a violência de gênero.",1,,,Um auxílio financeiro e psicológico para mulheres que são sustentadas pelo parceiro e acabam tendo medo de terminar o relacionamento por não conseguirem se manter. Esse auxílio duraria até a mulher encontrar um emprego e um lugar para morar.,"0,5",,,"A população atingida pela desigualdade no Brasil, por falta de conduções acabam indo morar em lugares como favelas onde existem diversos riscos à vida e ao meio ambiente. A falta de saneamento básico além de contribuir com a poluição da natureza, os torna vulneráveis a diversos problemas de saúde.","0,75",,,"Políticas públicas incentivam de origem e educação sexual, junto da distribuição gratuita de bens e higiene e preservativos. Também implementação de esgoto Proporcionam o saneamento básico a todos, deste modo conseguindo reduzir impactos socioambientais",1,
"Uma grande parte da cultura é composta pela arte, sendo assim, uma super dependente da outra. E como diz a Constituição Federal de 1988, a liberdade de expressão artística é algo garantido por lei, com isso, a censura com tais artes é algo incorreto, considerando até como crime.1 ação educativa que pode contribuir para minimizar as tensões é a criação de uma matéria escolar obrigatória sobre arte, além de incentivar desde a infância a própria pessoa produzir algo relacionado.","0,25",,,"Desde o surgimento da sociedade, há essa relação entre os homens e as mulheres. Cujos homens sempre tiveram este papel mais ativo, algo que vem sendo cada vez mais combatido, mas não o suficiente. Ainda há muito machismo presente nas pessoas, um exemplo é o baixo número de mulheres nas faculdades de engenharia.","0,5",,,"Punições mais severas aos agressores, com intuito de diminuir o índice de casos. Aumentar o número de mulheres da cota feminina de partidos e ministérios atuais no Congresso.",1,,,"Com começo da expansão da cidades, muitas pessoas que não possuem melhores condições financeiras foram mandadas para áreas mais afastadas das cidades, perto de montanhas e morros por exemplos.nesses lugares, arquiteturas como as de favela surgiram, sem qualquer supervisão técnica. Devido as tais circunstâncias, diversos problemas Socioeconômicas podem e acabam os atingindo, como os deslizamentos dos morros, derrubando as casas. Além disso a falta de saneamento básico, gera o aumento de doenças e a falta de qualidade de vida.","0,9",,,"Para solucionar alguns desses problemas, alguns programas devem ser criados. A fim de solucionar a falta de saneamento barco básico, órgãos de infraestrutura devem criar um sistema de esgoto que funcione. Para resolver o problema da estrutura, algumas equipes de arquitetura engenharia devem verificar a segurança das casas locais.","0,5",
"A cultura de uma nação tem como objetivo transmitir os valores do país, porém ela implica na imposição de limites culturais aos quais contradizem a constituição e a arte, pois ressaltam a liberdade e suas implicações. A partir desta ótica, percebe-se que as limitações culturais alinham-se com a censura e exclusão enquanto a arte contradiz este modelo não liberal, pois valida a individualidade. Portanto, é possível concluir que os valores culturais validam a sobreposição da maioria em relação à minoria, utilizando como forma de censura, enquanto a arte é ligada à liberdade e individualidade de cada indivíduo. Duas ações educativas são palestras e aula para ensino cultural.","0,75",,,"Se pegarmos historicamente as posições de liderança(familiar, profissional e social) sempre foram masculinas, e após os séculos tem tendo esta estrutura é uma batalha começar a mudar esta cultura, pois se criou uma ideia errônea onde a opinião da mulher vale menos do que a do homem, e também a visão onde a mulher não transmite respeito para se tornar uma liderança.","0,5",,,"O Estado deveria criar redes de apoio a mulheres enfrentarem as violência sofridas, por meios política pública como casos de cargos para mulheres visando aumentar a emprega de mulher em locais dominados por homens. E investir na segurança para que se sintam seguras",1,,,"A relação entre o perfil da população brasileira atingida pelas desigualdades sociais na cidades e os fenômenos de risco socioambientais, é que, quando este fenômeno de risco ocorrem grande parte da população mais vulnerável, acaba sofrendo com isso, criando uma necessidade de se afastar do centro urbano radicalizou o aumento de zonas periféricas","0,25",,,"Uma boa proposta seria um possível auxílio governamental, que oferecesse uma melhor estrutura habitacional às comunidades periféricas, ajudando a fortalecer as estruturas das casas, melhorando o acesso à água, comida, luz e etc.nessas regiões.outra proposta seria uma implantação de departamentos de políticas e militares dentro das comunidades, garantindo maior segurança estabilidade dentro das periferias.",1,
"A arte funciona como um reflexo na sociedade expondo diferentes sentimentos de diversos jeitos. É uma forma de expressão e reação à vida.já a censura busca falar com a liberdade de expressar como desejar, mostrando apenas o que é conveniente.","0,5",,,"O patriarcado estrutural está presente no meio social há séculos, com certas estruturas presentes nos dias atuais. A partir desta ótica, a desigualdade entre homens e mulheres têm origem do patriarcado.","0,5",,,"A mulher é atacada de inúmeras formas, seja sexualmente ou até indiretamente no ambiente de trabalho.para isso, o estado deveria interferir gerando dois projetos: prisão perpétua para crimes sexuais salários iguais para o mesmo cargo.",1,,,"A população brasileira periférica atingida pela desigualdade, influenciada diretamente por fenômenos de risco socioambiental. Com o crescimento urbano, a parcela das pessoas que estão em situação de vulnerabilidade são obrigadas a se deslocarem para ambientes de alto risco, como riachos ou morros, como possibilidade de enchentes deslizamentos e contaminação pela falta de saneamento.","0,75",,,"Uma das propostas ser o investimento governamental em saneamento, pavimentação e em moradias resistentes, com ajuda da comunidade para fiscalização dos solos. Ademais, a criação de um sistema para prevenção e alerta de desastres minimizarem danos, como usinas e rotas de fuga. Porém, a prioridade deve ser garantir a moradia em locais sem riscos, mais próximos a serviços.",1,
"A arte é algo fundamental para o nosso cotidiano. Ela gera humor, felicidade, estranheza ou até mesmo raiva, mas é fundamental para a construção de uma cultura e identidade local. Entretanto, algumas formas de expressão artística acabam gerando inúmeras debates e discussões principalmente cerca de valores e discriminação, fazendo nós pensarmos até que ponto vai a liberdade artística sem ferir qualquer cidadão. Trata-se de um importante debate que deve ser falado a fingir diminuir tamanhos tensões, e duas propostas seriam a de que toda a arte deveria ser proibida de atacar grupos minoritários e mais propagandas com relação à ação de idade","0,75",,,"O patriarcado estrutural levam pessoas a agirem como se homens fossem superiores as mulheres, gerando uma grande desigualdade e preservando mulheres de desempenharem papéis importantes na sociedade enquanto os homens dominam estes cargos.","0,5",,,"O Estado deveria fazer algumas leis para proteger as mulheres da diferença vulneráveis no trabalho, evitando o tom de superioridade e desigualdade. Também deveria aumentar a pena para casos de violência doméstica, assédio e estupro",1,,,"A principal relação entre a parte da população atingida pelas desigualdades e os fenômenos de risco socioambientais é também quem mais sofre ambiental, seja com enchentes, deslizamentos, falta de saneamento","0,25",,,"Duas propostas seriam: que o estado poderia investir melhor na parte de saneamento básico, drenagem e também em melhores moradias; e outro seria implementar políticos públicos que possam garantir um melhor planejamento urbano, prevenindo desastres",1,
"A arte e a cultura são princípios fundamentais para a criação de uma identidade em uma sociedade ou grupo tirar isso ou censurar isso apenas tirar a identificação que o povo tem com o seu país e entre eles. Preciso incentivar essas atividades, pois um povo unido alcança conquista muito maiores que obstinado. Para realizar este senso de identificação seria preciso incentivar nas escolas o aprendizado sobre cultura do país e que as crianças Brinquem mais seus talentos na arte. Também, a criação de áreas públicas com grandes eventos para espalhar trabalhos artísticos.","0,8",,,"Desde a formação da sociedades moderna, a mulher sempre foi vista como sexo frágil. Ela que teria a obrigação de cuidar da casa e dos filhos, enquanto o homem cumpriria o papel de prover o dinheiro entretanto, com o passar do tempo, principalmente pós revolução industrial e no contexto pós guerra, a mulher civil cada vez mais presente como uma participante ativa na sociedade. Tal ação acabou gerando desconforto em muitos homens e como consequência gerando ainda mais fragilidade da mulher.","0,5",,,"Uma ação do Estado que ajudaria no enfrentamento de diferentes tipos de violência contra mulher, seria uma implantação de cotas obrigatórias de contratação de mulheres para diversos setores dentro de uma empresa privada e estatais, ajudando na consolidação das mulheres no âmbito empresarial.outra ação que ajudaria na causa seria uma pena mais punitiva aos autores de violência contra as mulheres, quaisquer que tenha sido ela.",1,,,"Boa parte dessa desigualdade brasileira vem da falta de educação, necessidades básicas e da falta de profissionalismo político em verdadeiramente ajudar a sua sociedade a causar melhorias a todos.",0,,,"Duas propostas seriam uma campanha de saneamento básico, na qual o governo investe as instalações de sistemas de saneamento enquanto incentiva o cuidado do local, com lixeiras, criação de trabalhos remunerados de coleta de lixo e limpeza, além de investir no pavimento e infraestrutura dos locais recebendo feedback da comunidade sobre as áreas críticas.",1,
"Que ocorra uma minimização das tensões entre a arte, cultura e censura, é uma garantia de liberdade artística prevista na lei, uma ação que ofereceria grande suporte à causa, seria 11 implemento de conteúdos em matérias escolares, que ensinasse e conscientizar a própria geração sobre isso. Esses conteúdos de conscientização poderiam ser incluídos nas aulas de história artes e língua portuguesa por exemplo. Outra ação que poderia trazer resultados, seria haver um maior incentivo governamental, a causas projetos, e outras ideias, nas quais exploram abordar sobre a arte e cultura do nosso país, trazendo diferentes percepções as pessoas a respeito dos temas, e trazendo maior liquidez em relação aos assuntos.","0,9",,,"Acho que viemos de épocas onde o patriarcado era muito presente na sociedade, então esse patriarcado estrutural é muito difícil de ser retirado da cabeça da população, fazendo com que isso leve bastante tempo. Porém é inegável que a situação atual é muito melhor do que décadas atrás com a desigualdade sendo menos presente, sobretudo esse patriarcado estrutural também vejo que estamos em um bom caminho, e essas diferenças sumiram com o tempo.","0,5",,,Punições mais severas para a violência contra mulher. Canais de voz voltados apenas para esses casos de violência.,"0,5",,,"O perfil da população atingida pelas desigualdades sociais são as pessoas em situação de pobreza, que são incapazes de se sustentar nas cidades e acabam se afastando cada vez mais de seu centro, criando assim as periferias que estão se expandindo cada vez mais, afetando o território, e criando civilizações em que há muitos riscos a sobrevivência. Além disso, a falta de urbanização nessas áreas agrava a desigualdade e causa segregações sócio Pe sial nas cidades causadas também pela falta de investimento que esses locais recebem","0,9",,,,,
"Na teoria, todos possuem liberdade para expressar suas ideias, opiniões e impressões nas artes e/ou ciência. Entretanto, sabe-se que não é bem assim que ocorre no cotidiano.quando uma opinião que destoa do pensamento dos poderosos e ricos ganha notoriedade, ela é imediatamente cancelada nas redes sociais ou, partindo para algo mais radical, é censurada nos meios de televisões. Isso evidencia que, por mais que debaixo dos planos a censura ainda continua na sociedade, não apenas brasileira, mas mundialmente falando. Como alguém mente aberta, acredito que esta cultura da censura vai contra os direitos de expressão da população. Claro que uma opinião que fere os direitos humanos não é e jamais será tolerada, entretanto, opiniões políticas, sociais ou talvez até científicas divergentes devem ser ouvidas e levadas em consideração no julgamento final de decisões importantes.","0,75",,,"Apesar da existência de novas leis, como a lei de igualdade salarial, na qual estabeleceu que haja salários iguais obrigatório para os homens e mulheres que exerçam o mesmo cargo/função, ainda há raízes patriarcais nas quais fazem com que a desigualdade entre homem e mulheres sigam persistindo, mesmo com que mulheres em muitos casos representem competência maior ou igual as demandadas pelos homens e pelo mercado.","0,5",,,"O estado deveria agravar penas para casos de violência contra a mulher e garantir que as agressões sejam monitoradas de forma eficiente. Além disso, a criação de campanhas, palestras em escolas sobre o assunto, como o machismo, influencia em uma boa educação da sociedade.",1,,,,,,,,,
"Como ações educativas, poderia haver a ideia de Oficinas escolares que estimulem o pensamento crítico e artístico. Além disso, a criação de debates a respeito de obras artísticas, poderia estimular esse pensamento e demonstrar a liberdade que essa Prática gera, minimizando preconceitos e intolerâncias.","0,5",,,"A dominação masculina é algo que está enraizada na sociedade desde os primórdios. Isso porque, desde o começo do que conhecemos como sociedade, os homens são vistos como mais inteligentes, mais fortes, mais desenvolvidos etc esse pensamento se estende até os dias atuais, um exemplo dessa desigualdade está em relação ao trabalho, quando pessoas de gêneros opostos ocupam o mesmo cargo e recebem salários completamente diferentes. Esse preconceito é algo extremamente ultrapassado e é algo que deveria ganhar mais notoriedade devido à importância atualmente.","0,75",,,Duas ações do Estado para enfrentar a violência contra a mulher poderia ser: programas de conscientização de gênero o que levaria uma maior igualdade e redução da violência; e também a criação de serviços especializados para ajudarem as mulheres.,"0,75",,,,,,,,,
"A arte e a cultura são pontos que se contradizem, mas também andam interligados, onde a arte tenciona a cultura o levando para outros lugares, enquanto a cultura controla. Diante disso a arte questiona o que geralmente é aceito, grita onde há silêncio, o que está diretamente ligado à lei que permite a livre expressão.2 ideias para minimizar as tensões e garantir a liberdade artística seriam: oficinas artísticas que aceitariam todos os modelos de arte; e também debates para que todos possam entender a cultura da obra de cada artista.","0,75",,,"O patriarcado estrutural influencia diretamente na relação homem e mulher, com sua notória desigualdade e ideias que devem ser desmantelados, visto que são farsas, criando estereótipos. A voz feminina sempre foi silenciada por preconceitos pela parte dos homens, trazendo apenas prejuízos para a sociedade como um todo.","0,75",,,"A primeira ação que o Estado deve tomar é conscientizar as crianças, desde pequenas, a não praticar tal ato. Essa ação é de extrema importância, pois as crianças são o futuro do país.","0,25",,,,,,,,,
"De acordo com o texto um, a arte e a cultura andam de mãos dadas apesar de suas divergências. A cultura nada mais é do que a padronização da arte. Assim, pode-se dizer que a cultura e a arte estão diretamente relacionadas ao princípio da liberdade, já a censura, é a opressão da liberdade (arte e Cultura). Duas ações educativas que podem contribuir para garantir a liberdade artística prevista por lei são: estimular as crianças a expressar em suas opiniões e ensiná-las a respeitarem a opinião dos outros.",1,,,"O patriarcado estrutural está diretamente ligado a essa desigualdade entre homens e mulheres; pois desde o passado foi adotado essa dominação masculina da sociedade, o que acabou levando a drásticas desigualdades como a exclusão feminina na política e o não voto, e além da violência sexual, o que ocorre até hoje nos dias atuais.","0,5",,,"O estado pode propor dois tipos uma sendo preventiva e. Sendo uma delas desde a infância no colégio aulas para conscientização sobre violência contra a mulher. E a outra sendo algo mais punitivo, podendo ser sentenças mais longe divas para que o prazer do cara ganhe da dor de ser preso.",1,,,,,,,,,
A arte questiona a cultura e pode questionar a sociedade. A liberdade é um direito da democracia.,"0,1",,,"O patriarcado estrutural está diretamente relacionado à desigualdade entre homens e mulheres, já que esse tipo de pensamento continua presente na nossa sociedade até os dias de hoje. Há inúmeras mulheres que ocupam o mesmo cargo que um homem, porém elas acabam recebendo um salário menor.este é apenas um dos diversos exemplos que comprovam como a sociedade atual continua sendo patriarcal.","0,5",,,"Duas ações do estado seriam a criação ou maior investimento em políticas públicas que combatem a violência contra a mulher, criando campanhas de conscientização para quebrar o estigma da sociedade em relação à violência contra a mulher, além de aumentar a pena pelo crime para mostrar a seriedade da situação.",1,,,,,,,,,
"Com base nos textos, a cultura é o que toda todas as sociedades desenvolveram, algo intrínseco do ser humano, e a arte é o que causa as mudanças dessa cultura e, devido à sua alta disparidade de expressão, podem haver censura. Porém, constituição defende a liberdade de expressão, algo que não acontece devidamente, pois a arte questiona e a front ideias. Por isso se deve ser ensinado em escola o valor que a arte tem em transformar a sociedade e que censurá-la apenas cria mais revolta por impedir o valor humano de liberdade, além de incentivar o uso da arte como forma de se expressar, se aproximando do ideal proposto pela Constituição.",1,,,"O patriarcado estrutural quer sempre elevar o homem em relação ao poder, prestígio e oportunidades sempre dando a desculpa que a mulher que está errada exemplo mas também olha como está vestida. A desigualdade entre homens e mulheres vem junto com o patriarcado, da parte cultural e histórica de como foi construída.","0,5",,,"Aumentar a rigorosidade na ordem penal. Nos tempos atuais estamos cansados de ver bandidos e criminosos sendo absolvidos, protegidos. Essa garantia de impunidade apenas faz com que esses criminosos sejam incentivados a praticarem seus atos violentos e covardes. Outro ponto é a proteção política e mediático que fazem em cima do criminoso. Não podemos poupar um criminoso ao realizar um ato porque ele é vítima da sociedade ou só para tomar uma cervejinha. Isso faz com que toda sociedade incentive o crime. Essas práticas violentas são sempre levadas para dentro de casa onde os criminosos têm uma mulher inocente ali.",1,,,,,,,,,
Vivemos em uma cultura onde artistas tem todos os mesmos ideais políticos. São eles que hoje em dia ditam a cultura atual do país até pela força que os têm principalmente nos jovens. Vemos que todos os artistas que vão contar essa ideia padrão são linchados e muitas vezes o mercado artístico condena o artista e fecha a porta para ele só por fazer propaganda que eles não concordam. Precisamos ter menos censuras por opiniões políticas e mais abertura para artistas terem opiniões impopulares.,"0,25",,,"O patriarcado estrutural cobra as mulheres como submissa aos homens, na qual não podem fazer tarefas destinadas a eles como política e prover para família. Isso cria desigualdades pois exclui a mulher de certas coisas, que sofrem de preconceito por terceiros que consideram a visão estrutural da mulher como a correta, sendo algo tão intrínseco na sociedade que acabam justificando essa desigualdade de forma involuntária, culpando a mulher.","0,25",,,,,,,,,,,,,
,,,,"Pelo menos no Brasil, as mulheres sempre foram colocadas em uma posição de submissão entre homens e isso criou uma cultura da qual uma mulher deve gostar e o que ela não foi feita para fazer. Essa cultura não é facilmente apagada então desde quando as mulheres começaram a ganhar seus direitos, a raiz do problema não foi atacada então essa cultura de diminuição da mulher em várias áreas se perpetuam. Acredito que junto com os direitos das mulheres, deveria ter educado melhor a população para uma quebra dessa cultura.","0,5",,,,,,,,,,,,,